Reporte de drivers y modulos del kernel
Generado: 2026-05-16 11:13:22 -03
Equipo: javier-lcd
Kernel: 6.17.0-23-generic

=== MODULOS CARGADOS ===
Module                  Size  Used by
processor_thermal_device_pci_legacy    12288  0
binfmt_misc            24576  1
processor_thermal_device    24576  1 processor_thermal_device_pci_legacy
cfg80211             1462272  2 rtw88_core,mac80211
drm_buddy              28672  1 i915
processor_thermal_wt_hint    16384  1 processor_thermal_device
i2c_i801               36864  0
platform_temperature_control    20480  1 processor_thermal_device
snd_pcm               200704  14 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
spi_intel_pci          12288  0
ttm                   126976  1 i915
spi_intel              36864  1 spi_intel_pci
i2c_smbus              20480  1 i2c_i801
processor_thermal_soc_slider    16384  1 processor_thermal_device
i2c_mux                12288  1 i2c_i801
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
libarc4                12288  1 mac80211
processor_thermal_rfim    40960  1 processor_thermal_device
drm_display_helper    290816  1 i915
processor_thermal_rapl    16384  1 processor_thermal_device
mei_me                 53248  2
snd_ctl_led            24576  0
cec                    98304  2 drm_display_helper,i915
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
rc_core                73728  1 cec
processor_thermal_wt_req    12288  1 processor_thermal_device
i2c_algo_bit           16384  1 i915
processor_thermal_power_floor    12288  1 processor_thermal_device
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
nls_iso8859_1          12288  1
intel_pch_thermal      16384  0
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
thinkpad_acpi         163840  0
intel_pmc_core        135168  0
int3403_thermal        16384  0
nvram                  20480  1 thinkpad_acpi
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
pmt_telemetry          16384  1 intel_pmc_core
pmt_discovery          20480  1 pmt_telemetry
pmt_class              20480  2 pmt_telemetry,pmt_discovery
int3400_thermal        24576  0
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
acpi_thermal_rel       24576  1 int3400_thermal
acpi_pad              184320  0
input_leds             12288  0
joydev                 32768  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
overlay               221184  1
iptable_filter         12288  0
ip6table_filter        12288  0
ip6_tables             32768  1 ip6table_filter
br_netfilter           32768  0
bridge                425984  1 br_netfilter
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
arp_tables             32768  0
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  7 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  1 iptable_filter
x_tables               65536  10 ip6table_filter,xt_conntrack,iptable_filter,nft_compat,xt_addrtype,xt_set,ip6_tables,ip_tables,xt_MASQUERADE,arp_tables
autofs4                57344  2
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_hda_codec_conexant,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_compress,thinkpad_acpi,snd_soc_core,snd_pcm,snd_rawmidi
soundcore              16384  2 snd_ctl_led,snd
hid_generic            12288  0
nvme                   61440  2
video                  77824  2 thinkpad_acpi,i915
ucsi_acpi              12288  0
typec_ucsi             69632  1 ucsi_acpi
usbhid                 77824  0
nvme_core             233472  3 nvme
typec                 118784  1 typec_ucsi
hid                   262144  3 usbhid,snd_soc_sdca,hid_generic
psmouse               217088  0
r8169                 139264  0
nvme_keyring           20480  1 nvme_core
ahci                   49152  0
thunderbolt           540672  1 typec
nvme_auth              28672  1 nvme_core
realtek                49152  1
libahci                53248  1 ahci
platform_profile       20480  2 thinkpad_acpi,processor_thermal_soc_slider
sparse_keymap          12288  1 thinkpad_acpi
pinctrl_cannonlake     36864  0
wmi                    28672  4 video,intel_wmi_thunderbolt,wmi_bmof,think_lmi

=== DRIVERS DETECTADOS EN /sys/bus ===
BUS          | DRIVER                         | MODULO ASOCIADO           | DISPOSITIVOS
---------------------------------------------------------------------------------------------------------------
acpi         | battery                        | builtin/no-visible        | (1) PNP0C0A:00
acpi         | button                         | builtin/no-visible        | (3) PNP0C0D:00 LNXPWRBN:00 PNP0C0E:00
acpi         | ec                             | builtin/no-visible        | (1) PNP0C09:00
acpi         | hardware_error_device          | builtin/no-visible        | (0) -
acpi         | hpet                           | builtin/no-visible        | (0) -
acpi         | thermal                        | builtin/no-visible        | (1) LNXTHERM:00
acpi         | thinkpad_hotkey                | thinkpad_acpi             | (1) LEN0268:00
acpi         | tpm_crb                        | builtin/no-visible        | (0) -
acpi         | video                          | video                     | (1) LNXVIDEO:00
auxiliary    | pmt_discovery                  | pmt_discovery             | (0) -
auxiliary    | pmt_telemetry                  | pmt_telemetry             | (0) -
auxiliary    | soundwire_intel                | soundwire_intel           | (0) -
cpu          | processor                      | builtin/no-visible        | (8) cpu7 cpu5 cpu3 cpu1 cpu6 cpu4 cpu2 cpu0
faux         | faux_driver                    | builtin/no-visible        | (7) reg-dummy Fixed MDIO bus microcode regulatory snd-soc-dummy
